area,bathroom,bedroom,lat,long,school,mrt,age,type_condo,type_hdb,price_sqft
990,2,3,1.418868,103.844664,3,0,6,0,1,368.69
732,2,2,1.43621,103.83582,4,0,39,0,1,355.19
1206,2,3,1.423125,103.847499,3,0,7,0,1,431.18
731,2,2,1.37029,103.85767,2,0,41,0,1,383.04
990,2,3,1.40246,103.90686,9,0,5,0,1,505.05
1410,2,4,1.349208,103.856193,4,0,33,0,1,553.19
1001,2,3,1.4049,103.90272,7,1,9,0,1,579.42
1001,2,3,1.381464,103.769766,5,0,5,0,1,479.52
1205,2,3,1.400328,103.900734,7,0,8,0,1,513.28
1184,2,3,1.382436,103.8808575,2,0,18,0,1,405.41
635,2,2,1.346688,103.709502,2,0,46,0,1,359.06
1421,2,4,1.33949,103.70739,3,1,21,0,1,448.98
1457,2,3,1.377756,103.878666,4,0,22,0,1,394.65
1572,3,4,1.348713,103.9318695,2,0,32,0,1,489.82
1206,2,3,1.395765,103.889466,5,0,6,0,1,489.22
1302,2,3,1.373562,103.8791835,4,0,23,0,1,322.58
1001,2,3,1.4049,103.90272,7,1,6,0,1,519.48
732,2,2,1.34261,103.92539,1,0,40,0,1,430.33
1184,2,3,1.338534,103.701546,4,2,22,0,1,412.16
1119,2,3,1.372698,103.8728565,1,0,30,0,1,409.29
636,2,2,1.2828,103.81786,2,0,45,0,1,421.38
1474,2,4,1.378179,103.8786435,4,0,22,0,1,405.7
1184,2,3,1.293192,103.8112515,2,0,21,0,1,675.68
710,1,2,1.316853,103.875552,1,0,46,0,1,366.2
990,2,3,1.33668,103.9487,2,0,42,0,1,378.79
1001,2,3,1.272087,103.825494,2,0,38,0,1,529.47
1281,2,3,1.380132,103.8293685,2,0,42,0,1,452.77
936,1,3,1.302669,103.909041,2,0,45,0,1,598.29
979,2,3,1.360431,103.8922065,2,0,37,0,1,383.04
1076,2,3,1.391562,103.905405,6,0,22,0,1,369.89
1205,2,3,1.386558,103.7572065,2,0,6,0,1,473.03
1141,2,3,1.34982,103.695444,3,0,26,0,1,313.76
699,1,2,1.347642,103.712931,4,0,43,0,1,314.74
1140,2,3,1.394262,103.749318,3,1,25,0,1,328.95
1389,2,3,1.33668,103.9487,2,0,28,0,1,459.32
732,2,2,1.37628,103.841226,4,0,40,0,1,393.44
1184,2,3,1.40246,103.90686,9,0,17,0,1,395.27
1270,2,3,1.322775,103.739715,0,0,8,0,1,511.81
883,2,3,1.303767,103.9141755,3,0,46,0,1,631.94
1216,2,3,1.37514,103.73863,2,0,5,0,1,419.41
1098,2,3,1.309473,103.882437,1,1,24,0,1,591.99
1539,2,4,1.337868,103.744872,2,0,23,0,1,539.31
1195,2,3,1.40246,103.90686,9,0,17,0,1,416.74
1119,2,3,1.325916,103.9197555,2,0,37,0,1,375.34
1216,2,3,1.390608,103.8799395,4,0,6,0,1,444.08
721,2,2,1.328652,103.924494,3,0,41,0,1,416.09
1496,3,4,1.380141,103.7372175,2,0,24,0,1,353.61
721,1,2,1.33448,103.85108,4,1,50,0,1,388.35
1259,2,3,1.43624,103.79215,5,0,25,0,1,387.61
1205,2,3,1.423125,103.847499,3,0,7,0,1,414.94
1539,2,4,1.39172,103.74311,2,0,27,0,1,318.32
1399,2,2,1.341972,103.698891,5,0,21,0,1,413.87
1119,2,3,1.374615,103.872573,2,0,30,0,1,355.67
721,2,2,1.380474,103.755213,3,0,43,0,1,374.48
979,2,3,1.40246,103.90686,9,0,14,0,1,457.61
742,1,2,1.359441,103.9460805,3,0,36,0,1,458.22
968,2,3,1.387593,103.768983,4,0,24,0,1,392.56
1507,2,4,1.338462,103.744224,2,0,23,0,1,557.4
990,2,3,1.421415,103.8485655,3,0,6,0,1,419.19
1055,2,3,1.318725,103.770063,2,0,42,0,1,462.56
1162,2,3,1.35549,103.9482585,6,0,36,0,1,404.48
990,2,3,1.308843,103.784931,2,0,9,0,1,702.02
1474,2,4,1.377162,103.8796785,4,0,22,0,1,430.8
1097,2,3,1.31022,103.8832335,2,1,24,0,1,663.63
1184,2,3,1.39095,103.9086135,5,0,19,0,1,338.68
1119,2,3,1.354689,103.9365045,4,0,33,0,1,419.02
1321,2,3,1.345572,103.9524975,4,1,33,0,1,442.85
968,2,3,1.384137,103.894443,4,1,12,0,1,526.86
605,1,2,1.32386,103.88624,2,1,56,0,1,347.11
1421,2,3,1.349181,103.7465685,3,1,36,0,1,376.5
980,2,3,1.327977,103.9258035,3,0,35,0,1,459.18
882,1,3,1.273518,103.822479,2,0,45,0,1,467.12
1259,2,3,1.32298,103.87001,1,1,46,0,1,482.92
893,2,3,1.319733,103.946625,1,0,36,0,1,459.13
1109,2,3,1.345248,103.852692,5,0,33,0,1,422
990,2,3,1.395108,103.891455,5,0,6,0,1,464.65
980,2,3,1.36401,103.84945,3,0,39,0,1,469.39
1216,2,3,1.40031,103.8980745,4,0,7,0,1,476.97
764,2,2,1.355949,103.8695805,3,0,36,0,1,510.47
1237,2,3,1.377054,103.773312,3,0,32,0,1,311.24
1431,2,4,1.337976,103.6996965,3,1,21,0,1,454.23
990,2,3,1.375299,103.8362625,3,0,39,0,1,353.54
1259,2,3,1.37038,103.83883,3,0,43,0,1,389.2
990,2,3,1.405017,103.89771,4,0,6,0,1,500
1140,2,3,1.357614,103.842144,1,0,29,0,1,456.14
1152,2,3,1.380555,103.768731,4,0,32,0,1,312.5
1410,2,3,1.437606,103.832469,4,0,34,0,1,317.73
721,2,2,1.381185,103.8422565,2,1,41,0,1,395.28
1001,2,3,1.41003,103.90594,5,0,11,0,1,424.58
722,2,2,1.349829,103.754736,3,0,36,0,1,394.74
1313,2,3,1.38987,103.89852,7,1,22,0,1,388.42
1001,2,3,1.385802,103.757616,2,0,6,0,1,444.56
1227,2,3,1.311291,103.7872305,1,0,44,0,1,552.57
969,2,3,1.383237,103.8939615,4,1,13,0,1,495.36
969,2,3,1.385262,103.761288,4,0,20,0,1,433.44
1001,2,3,1.348398,103.9368105,3,1,37,0,1,377.62
1300,2,4,1.440396,103.79502,5,0,26,0,1,353.85
883,2,2,1.36609,103.85806,2,0,41,0,1,430.35
1442,4,4,1.365138,103.865418,2,0,42,0,1,395.28
1399,2,3,1.318968,103.8563415,2,0,34,0,1,500.36
1184,2,3,1.41003,103.90594,5,0,18,0,1,430.74
1206,2,3,1.378467,103.900806,3,0,6,0,1,504.15
1456,2,4,1.34195,103.70576,5,1,22,0,1,445.05
635,2,2,1.33278,103.93165,4,1,43,0,1,362.2
786,2,2,1.346949,103.9364145,3,1,37,0,1,432.57
732,1,2,1.317708,103.8627855,2,2,50,0,1,430.33
1184,2,3,1.40246,103.90686,9,0,5,0,1,561.66
1184,2,3,1.4049,103.90272,7,1,16,0,1,380.07
796,2,3,1.36751,103.858,3,0,41,0,1,402.01
1302,2,3,1.344384,103.741578,2,0,38,0,1,482.33
1302,2,3,1.340235,103.720887,4,1,25,0,1,341.78
721,2,2,1.35026,103.93597,4,0,6,0,1,610.26
1098,2,3,1.357614,103.9613805,2,0,25,0,1,355.19
786,1,2,1.320804,103.947354,1,0,45,0,1,470.74
1195,2,3,1.40246,103.90686,9,0,18,0,1,393.31
1335,2,4,1.363005,103.953546,3,0,28,0,1,365.54
1119,2,3,1.345086,103.71798,4,1,37,0,1,361.93
1227,2,3,1.395171,103.9017915,8,0,21,0,1,407.5
807,2,2,1.365138,103.865418,2,0,44,0,1,346.96
1335,2,3,1.362564,103.9537845,3,0,28,0,1,408.24
937,1,3,1.302381,103.909239,2,0,45,0,1,554.96
1001,2,3,1.369593,103.9474575,0,1,8,0,1,544.46
990,2,3,1.329678,103.885407,1,1,36,0,1,472.73
721,2,2,1.338894,103.738554,2,0,38,0,1,429.96
1378,2,4,1.304028,103.9135005,3,0,46,0,1,645.06
1302,2,3,1.393191,103.7424645,2,0,27,0,1,322.58
1108,2,3,1.349541,103.9529835,5,0,37,0,1,359.21
1237,2,3,1.389501,103.87701,2,0,16,0,1,371.87
1518,2,4,1.382913,103.9012065,5,0,22,0,1,407.11
1109,2,3,1.368054,103.955769,3,0,31,0,1,359.78
1334,2,3,1.352997,103.949352,6,0,37,0,1,374.06
1593,3,4,1.378782,103.895154,5,0,30,0,1,450.72
796,2,1,1.367829,103.8952755,3,1,37,0,1,439.7
786,2,2,1.363788,103.891815,2,0,43,0,1,353.69
1482,3,4,1.369269,103.951377,1,1,28,0,1,470.99
1023,2,3,1.389942,103.876479,2,0,10,0,1,420.33
1550,2,3,1.402479,103.744539,3,0,22,0,1,300
1205,2,3,1.419309,103.8470445,4,0,6,0,1,369.29
1312,2,4,1.364814,103.8657555,2,0,31,0,1,396.34
1001,2,3,1.385172,103.7585295,3,0,8,0,1,467.53
1582,3,3,1.323207,103.7711295,1,0,37,0,1,493.05
990,2,3,1.434078,103.843575,4,0,6,0,1,442.42
796,2,2,1.320768,103.7482605,0,0,42,0,1,295.23
721,2,2,1.304235,103.7678535,0,0,42,0,1,357.84
430,1,1,1.3394,103.84427,3,1,53,0,1,581.4
990,2,3,1.408005,103.8990735,4,1,5,0,1,484.85
1001,2,3,1.39545,103.90626,9,0,6,0,1,439.56
1237,2,3,1.389501,103.87701,2,0,16,0,1,383.99
785,2,2,1.310094,103.768983,2,0,8,0,1,694.27
645,1,2,1.352223,103.75398,3,0,35,0,1,418.6
742,1,2,1.358784,103.9472775,4,0,36,0,1,417.79
1076,2,3,1.401282,103.7480445,4,1,23,0,1,297.4
1237,2,3,1.397529,103.8891195,4,0,6,0,1,501.21
1054,2,3,1.4346,103.83741,4,0,36,0,1,332.07
1001,2,3,1.386972,103.771278,4,0,6,0,1,444.56
1216,2,3,1.393893,103.877496,3,0,7,0,1,467.11
1302,2,4,1.349208,103.856193,4,0,33,0,1,513.06
1292,2,3,1.339929,103.7416455,2,0,39,0,1,354.49
1001,2,3,1.402281,103.9021065,6,1,9,0,1,549.45
721,2,2,1.376298,103.900221,3,0,6,0,1,665.74
990,2,3,1.407753,103.900905,5,1,5,0,1,616.16
1432,2,3,1.351386,103.9478985,7,0,36,0,1,384.08
1184,2,3,1.388502,103.8909825,7,0,20,0,1,403.72
678,2,2,1.34261,103.92539,1,0,34,0,1,412.98
1324,2,3,1.36737,103.9531185,3,0,28,0,1,413.9
990,2,3,1.427139,103.8422295,4,0,7,0,1,543.43
1001,2,3,1.370619,103.948164,0,1,8,0,1,522.48
1550,3,4,1.438299,103.801473,4,0,22,0,1,374.19
1001,2,3,1.35026,103.93597,4,0,6,0,1,559.44
1032,2,3,1.40508,103.9067055,7,1,10,0,1,521.32
732,2,2,1.380132,103.8293685,2,0,41,0,1,355.19
710,1,2,1.279458,103.817898,2,0,37,0,1,429.58
1291,2,4,1.33448,103.85108,4,1,25,0,1,641.36
732,2,2,1.285209,103.8457665,0,4,42,0,1,669.4
1237,2,3,1.33448,103.85108,4,1,21,0,1,719.48
1345,2,4,1.393479,103.887801,4,0,20,0,1,444.61
990,2,3,1.378305,103.9038435,2,0,6,0,1,505.05
1485,2,4,1.437813,103.778703,3,0,37,0,1,268.01
1216,2,3,1.418823,103.844052,3,0,6,0,1,427.63
1216,2,3,1.389042,103.8794175,3,0,6,0,1,501.64
1001,2,3,1.376514,103.739139,2,0,6,0,1,437.56
1614,2,3,1.321497,103.7622375,2,0,36,0,1,570.01
1001,2,3,1.376352,103.7383605,2,0,5,0,1,399.6
980,2,3,1.379709,103.829202,2,0,39,0,1,510.2
1378,2,3,1.39939,103.91031,9,0,17,0,1,390.42
990,2,3,1.389042,103.768353,4,0,6,0,1,469.7
1022,2,3,1.305693,103.782348,1,0,11,0,1,665.36
699,2,2,1.30446,103.9096035,3,0,45,0,1,497.85
1151,2,3,1.275354,103.826952,2,0,36,0,1,499.56
1593,2,3,1.366452,103.8721095,2,0,36,0,1,414.31
1108,2,3,1.344132,103.8517425,5,0,34,0,1,478.34
1281,2,3,1.380132,103.8293685,2,0,42,0,1,490.24
1218,2,3,1.331955,103.7215125,1,0,6,0,1,439.24
980,2,3,1.40246,103.90686,9,0,14,0,1,408.16
979,2,3,1.429371,103.8324735,4,1,36,0,1,377.94
700,1,2,1.326276,103.9228875,2,0,48,0,1,364.29
796,2,2,1.439703,103.8388275,4,1,36,0,1,361.81
690,2,2,1.390023,103.879575,4,0,6,0,1,550.72
700,1,3,1.302651,103.9121865,3,0,46,0,1,611.43
1302,2,3,1.328463,103.9199805,2,0,40,0,1,403.23
721,2,2,1.42785,103.82778,3,0,37,0,1,360.61
725,2,2,1.375182,103.9004055,2,0,6,0,1,689.66
650,1,2,1.299006,103.8522825,2,4,42,0,1,692.31
1130,2,3,1.336419,103.920993,1,1,6,0,1,668.14
721,2,2,1.428921,103.8312405,4,1,36,0,1,409.15
796,2,2,1.346949,103.949307,5,0,37,0,1,400.75
1668,3,3,1.34995,103.75199,3,1,36,0,1,449.64
1291,2,3,1.364814,103.8657555,2,0,33,0,1,365.61
