,Address,Building Name,Built On,Land Area,Number of Bathroom,Number of Bedroom,Price,Price per sqft,Tenure,Type,latitude,longitude
0,190 Bukit Batok West Avenue 6,190 Bukit Batok West Avenue 6,1995,1270 sqft,2,3,"S$ 546,000 ",S$ 429.92 psf,99-year Leasehold,HDB Apartment,1.345383,103.7460465
1,Sims Drive,Sims Urban Oasis,99-year Leasehold,409 sqft,1,1,"S$ 720,000 ","S$ 1,760.39 psf",Condominium,New Project: 2020,1.3182613991,103.8793909546
2,57 Choa Chu Kang Loop,The Warren,2004,1066 sqft,2,2,"S$ 980,000 ",S$ 919.32 psf,99-year Leasehold,Condominium,1.386702,103.7436795
3,21 Fernvale Road,High Park Residences,99-year Leasehold,680 sqft,2,2,"S$ 880,000 ","S$ 1,294.12 psf",Condominium,New Project: 2019,1.3964400000000001,103.87525049999999
4,21 Nathan Road,Nathan Suites,2014,926 sqft,2,2,"S$ 2,500,000 ","S$ 2,699.78 psf",Freehold,Condominium,1.295316,103.827096
5,10 Meyappa Chettiar Road,The Poiz Residences,99-year Leasehold,840 sqft,2,3,"S$ 1,550,000 ","S$ 1,845.24 psf",Condominium,New Project: 2020,1.3309212801,103.8676297898
6,Whitley Road,The Whitley Residences,2017,"5716 sqft, 5716 sqft (land)",6,5,"S$ 4,799,999 ",S$ 839.75 psf,Freehold,Semi-Detached House,,
7,27 Moulmein Rise,Neu at Novena,Freehold,646 sqft,2,2,"S$ 1,698,000 ","S$ 2,628.48 psf",Condominium,New Project: 2023,1.319553,103.8460635
8,Upper Changi Road,Brand New INTER-TERRACE House near Spore Expo hall & Changi City Point,2019,"4425 sqft, 1940 sqft (land)",4,4,"S$ 3,600,000 ","S$ 1,855.67 psf",999-year Leasehold,Terraced House,1.33236,103.94614
9,2 Marina Boulevard,The Sail @ Marina Bay,2008,668 sqft,1,1,"S$ 1,250,000 ","S$ 1,871.26 psf",99-year Leasehold,Apartment,1.280772,103.8526605
10,8 Walshe Road,Chelsea Gardens,2000,1959 sqft,4,4,"S$ 4,150,000 ","S$ 2,118.43 psf",Freehold,Condominium,1.313388,103.8273615
11,521 Ang Mo Kio Avenue 5,521 Ang Mo Kio Avenue 5,1980,1270 sqft,2,3,"S$ 678,000 ",S$ 533.86 psf,99-year Leasehold,HDB Apartment,1.373571,103.8515535
12,Paradise Island,Paradise Island,2009,"10200 sqft, 8050 sqft (land)",6,6,"S$ 15,000,000 ","S$ 1,863.35 psf",99-year Leasehold,Detached House,1.2500400333,103.8437700039
13,351 Clementi Avenue 2,351 Clementi Avenue 2,1977,990 sqft,2,2,"S$ 455,000 ",S$ 459.60 psf,99-year Leasehold,HDB Apartment,1.31535,103.770855
14,Jelebu Road,Hillion Residences,2018,549 sqft,1,1,"S$ 790,000 ","S$ 1,438.98 psf",99-year Leasehold,Apartment,1.3796238001,103.7640146146
15,Sennett Avenue,East Coast Hill,1977,"3899 sqft, 3716 sqft (land)",5,5,"S$ 4,600,000 ","S$ 1,237.89 psf",Freehold,Semi-Detached House,1.31707,103.93653
16,Park Villas Green,Park Villas,1998,"2600 sqft, 2263 sqft (land)",5,5,"S$ 1,850,000 ",S$ 817.50 psf,99-year Leasehold,Terraced House,1.3682535909,103.879493771
17,469B Admiralty Drive,469B Admiralty Drive,1999,1400 sqft,2,3,"S$ 520,000 ",S$ 371.43 psf,99-year Leasehold,HDB Apartment,1.448271,103.813344
18,,Nv Residences,2013,1534 sqft,4,4,"S$ 1,450,000 ",S$ 945.24 psf,99-year Leasehold,Condominium,,
19,10 Gopeng Street,Icon,2007,657 sqft,1,1,"S$ 1,260,000 ","S$ 1,917.81 psf",99-year Leasehold,Apartment,1.2751649999999999,103.844538
20,1 Jalan Remaja,Mont Botanik Residence,Freehold,948 sqft,2,3,"S$ 1,572,400 ","S$ 1,658.65 psf",Condominium,New Project: 2023,1.35768,103.76092
21,269 Bedok South Avenue 3,Eco,2017,915 sqft,2,2,"S$ 1,350,000 ","S$ 1,475.41 psf",99-year Leasehold,Condominium,1.32435,103.945023
22,23 Marina Way,Marina One Residences,2017,710 sqft,1,1,"S$ 1,586,415 ","S$ 2,234.39 psf",99-year Leasehold,Condominium,1.277226,103.8536955
23,Seletar Green Walk,Luxus Hills,2012,"3704 sqft, 1614 sqft (land)",6,5,"S$ 3,288,000 ","S$ 2,037.17 psf",999-year Leasehold,Terraced House,1.3801954212,103.8750908059
24,Jalan Angin Laut,Brand New Corner Terrace House near Expo & Simei MRT,2019,"5053 sqft, 2660 sqft (land)",5,5,"S$ 4,200,000 ","S$ 1,578.95 psf",999-year Leasehold,Corner Terrace,,
25,515 Hougang Avenue 10,515 Hougang Avenue 10,1985,905 sqft,2,3,"S$ 350,000 ",S$ 386.74 psf,99-year Leasehold,HDB Apartment,1.372392,103.8890385
26,1 Canberra Walk,Parc Canberra,99-year Leasehold,1184 sqft,3,4,"S$ 1,200,000 ","S$ 1,013.51 psf",Executive Condominium,New Project: 2023,1.4375,103.83022
27,6 Tai Thong Crescent,The Venue Residences And Shoppes,2017,646 sqft,1,1,"S$ 990,000 ","S$ 1,532.51 psf",99-year Leasehold,Apartment,1.328841,103.869045
28,525C Pasir Ris Street 51,525C Pasir Ris Street 51,2014,1001 sqft,2,3,"S$ 580,000 ",S$ 579.42 psf,99-year Leasehold,HDB Apartment,1.369962,103.947453
29,Sims Drive,Sims Urban Oasis,99-year Leasehold,624 sqft,1,2,"S$ 999,000 ","S$ 1,600.96 psf",Condominium,New Project: 2020,1.3182613991,103.8793909546
30,93 Farrer Drive,Sommerville Park,1978,4103 sqft,4,4,"S$ 8,880,000 ","S$ 2,164.27 psf",Freehold,Cluster House,1.3133789999999999,103.80771
31,97A Upper Thomson Road,Lakeview Estate,1977,1615 sqft,3,3,"S$ 1,450,000 ",S$ 897.83 psf,99-year Leasehold,Apartment,1.35025,103.83577
32,57 Paterson Road,Paterson Suites,2011,1679 sqft,3,3,"S$ 4,260,000 ","S$ 2,537.22 psf",Freehold,Condominium,1.301094,103.8305655
33,38 Martin Road,Martin No 38,2012,2648 sqft,4,4,"S$ 6,900,000 ","S$ 2,605.74 psf",Freehold,Apartment,1.29213,103.838067
34,8 Sims Drive,Sims Urban Oasis,99-year Leasehold,786 sqft,2,2,"S$ 1,380,000 ","S$ 1,755.73 psf",Condominium,New Project: 2020,1.319535,103.8805425
35,21 Rosewood Drive,Casablanca,2006,893 sqft,2,2,"S$ 735,000 ",S$ 823.07 psf,99-year Leasehold,Condominium,1.430532,103.785534
36,27 Robin Road,Proximo,2005,1119 sqft,3,3,"S$ 1,990,000 ","S$ 1,778.37 psf",Freehold,Apartment,1.3172760000000001,103.828671
37,223 Upper Paya Lebar Road,Botanique @ Bartley,2019,1033 sqft,2,3,"S$ 1,549,999 ","S$ 1,500.48 psf",99-year Leasehold,Condominium,1.32503,103.89049
38,620 Bukit Batok Central,620 Bukit Batok Central,2002,1184 sqft,2,3,"S$ 640,000 ",S$ 540.54 psf,99-year Leasehold,HDB Apartment,1.34995,103.75199
39,986 Upper Serangoon Road,Stars Of Kovan,99-year Leasehold,743 sqft,2,2,"S$ 1,400,000 ","S$ 1,884.25 psf",Condominium,New Project: 2020,1.36177,103.88696
40,Andrews AVENUE,Freehold Corner Semi-D @ Andrews Avenue,2007,"3424 sqft, 3150 sqft (land)",5,5,"S$ 3,490,000 ","S$ 1,107.94 psf",Freehold,Semi-Detached House,1.4577588792,103.8385804182
41,34 Whampoa West,34 Whampoa West,1971,710 sqft,2,2,"S$ 325,000 ",S$ 457.75 psf,99-year Leasehold,HDB Apartment,1.32047,103.86231
42,123 Bedok North Street 2,123 Bedok North Street 2,1977,721 sqft,2,2,"S$ 279,000 ",S$ 386.96 psf,99-year Leasehold,HDB Apartment,1.329048,103.9373235
43,453 Jurong West Street 42,453 Jurong West Street 42,1984,1194 sqft,2,3,"S$ 320,000 ",S$ 268.01 psf,99-year Leasehold,HDB Apartment,1.351368,103.717503
44,455 Sin Ming Avenue,455 Sin Ming Avenue,1988,1022 sqft,2,3,"S$ 520,000 ",S$ 508.81 psf,99-year Leasehold,HDB Apartment,1.35873,103.830642
45,222 Loyang Avenue,Loyang Valley,1985,1495 sqft,2,2,"S$ 1,220,000 ",S$ 816.05 psf,99-year Leasehold,Condominium,1.369683,103.9713615
46,Jln Dermawan,Brand new majestic bungalow,2021,"9300 sqft, 5075 sqft (land)",7,7,"S$ 7,880,000 ","S$ 1,552.71 psf",Freehold,Detached House,,
47,9 Bukit Batok Central Link,The Jade,2004,1088 sqft,2,2,"S$ 1,179,999 ","S$ 1,084.56 psf",99-year Leasehold,Condominium,1.349127,103.7492055
48,25 Rosewood Drive,Casablanca,2006,947 sqft,2,2,"S$ 775,000 ",S$ 818.37 psf,99-year Leasehold,Condominium,1.430613,103.786524
49,279B Sengkang East Avenue,279B Sengkang East Avenue,2014,1206 sqft,2,3,"S$ 620,000 ",S$ 514.10 psf,99-year Leasehold,HDB Apartment,1.385415,103.892985
50,Seletar Green Walk,Luxus Hills,2012,"3703 sqft, 1644 sqft (land)",5,5,"S$ 3,308,000 ","S$ 2,012.17 psf",999-year Leasehold,Terraced House,1.3801954212,103.8750908059
51,1189 Upper Serangoon Road,Midtown Residences,2016,646 sqft,2,2,"S$ 950,000 ","S$ 1,470.59 psf",99-year Leasehold,Condominium,1.36177,103.88696
52,98 Punggol Drive,Riverparc Residence,2014,1076 sqft,3,3,"S$ 968,000 ",S$ 899.63 psf,99-year Leasehold,Executive Condominium,1.40246,103.90686
53,314 Shunfu Road,Jadescape,99-year Leasehold,1141 sqft,3,3,"S$ 1,800,000 ","S$ 1,577.56 psf",Condominium,New Project: 2023,1.351764,103.8382515
54,307 Clementi Avenue 4,307 Clementi Avenue 4,1978,721 sqft,2,2,"S$ 328,000 ",S$ 454.92 psf,99-year Leasehold,HDB Apartment,1.321407,103.767102
55,210 Jalan Eunos,Euhabitat,2016,624 sqft,1,1,"S$ 710,000 ","S$ 1,137.82 psf",99-year Leasehold,Condominium,1.327284,103.90743
56,822 Sims Avenue,Parc Esta,99-year Leasehold,1475 sqft,3,5,"S$ 2,442,000 ","S$ 1,655.59 psf",Condominium,New Project: 2022,1.3007099267,103.8547500511
57,6 Upper Serangoon Crescent,Riversails,2016,1367 sqft,4,4,"S$ 1,570,000 ","S$ 1,148.50 psf",99-year Leasehold,Condominium,1.377837,103.9027545
58,8 Bassein Road,8 Bassein,2015,431 sqft,1,1,"S$ 845,000 ","S$ 1,960.56 psf",Freehold,Condominium,1.323504,103.8479985
59,663C Punggol Drive,663C Punggol Drive,2015,1205 sqft,2,3,"S$ 650,000 ",S$ 539.42 psf,99-year Leasehold,HDB Apartment,1.40246,103.90686
60,83 Flora Drive,Hedges Park Condo,2015,484 sqft,1,1,"S$ 550,000 ","S$ 1,136.36 psf",99-year Leasehold,Condominium,1.355157,103.9678425
61,Tampines Avenue 10,The Alps Residences,99-year Leasehold,946 sqft,2,3,"S$ 1,082,000 ","S$ 1,143.76 psf",Condominium,New Project: 2019,1.3699853233,103.9305353423
62,115 Tampines Road,Trilive,2018,624 sqft,2,2,"S$ 1,048,000 ","S$ 1,679.49 psf",Freehold,Condominium,1.362285,103.8913245
63,306 Woodlands Street 31,306 Woodlands Street 31,1988,1743 sqft,3,5,"S$ 649,999 ",S$ 372.92 psf,99-year Leasehold,HDB Apartment,1.4298929999999999,103.774644
64,748C Bedok Reservoir Crescent,748C Bedok Reservoir Crescent,2014,936 sqft,2,3,"S$ 660,000 ",S$ 705.13 psf,99-year Leasehold,HDB Apartment,1.336158,103.9214925
65,123 Jalan Lim Tai See,Regent Villas,1993,"3500 sqft, 2813 sqft (land)",5,6,"S$ 3,480,000 ","S$ 1,237.11 psf",99-year Leasehold,Corner Terrace,,
66,78 Upper Serangoon View,Kingsford Waterbay,2018,850 sqft,2,3,"S$ 1,070,000 ","S$ 1,258.82 psf",99-year Leasehold,Apartment,1.375416,103.9041135
67,8 Bassein Road,8 Bassein,2015,431 sqft,1,1,"S$ 850,000 ","S$ 1,972.16 psf",Freehold,Condominium,1.323504,103.8479985
68,51 Hume Avenue,Parc Palais,2000,1614 sqft,4,4,"S$ 1,700,000 ","S$ 1,053.28 psf",Freehold,Condominium,1.35684,103.765428
69,18 Holland Hill,Parvis,2012,1701 sqft,3,3,"S$ 3,599,000 ","S$ 2,115.81 psf",Freehold,Condominium,1.3092899961,103.8020800084
70,2 Pasir Ris Link,Ripple Bay,2016,786 sqft,2,2,"S$ 800,000 ","S$ 1,017.81 psf",99-year Leasehold,Condominium,1.377279,103.960998
71,2 Indus Road,Emerald Park,1993,926 sqft,2,2,"S$ 1,380,000 ","S$ 1,490.28 psf",99-year Leasehold,Condominium,1.2894839999999999,103.830084
72,22 Andrews Avenue,Straits Gardens,2005,"3424 sqft, 3152 sqft (land)",5,5,"S$ 3,300,000 ","S$ 1,046.95 psf",99-year Leasehold,Semi-Detached House,1.457811,103.8381165
73,bukit batok west avenue 6,Le Quest,2020,1313 sqft,3,4,"S$ 1,808,000 ","S$ 1,377.00 psf",99-year Leasehold,Condominium,1.3477958449,103.74473015
74,22 Sumang Walk,Piermont Grand,99-year Leasehold,1130 sqft,3,3,"S$ 1,138,000 ","S$ 1,007.08 psf",Executive Condominium,New Project: 2023,1.4051369366,103.894985989
75,2 Marina Boulevard,The Sail @ Marina Bay,2008,689 sqft,1,1,"S$ 1,450,000 ","S$ 2,104.50 psf",99-year Leasehold,Apartment,1.280772,103.8526605
76,103 Hillview Rise,Kingsford Hillview Peak,2016,635 sqft,1,1,"S$ 860,000 ","S$ 1,354.33 psf",99-year Leasehold,Condominium,1.364787,103.764168
77,18 Amber Gardens,Amber Park,Freehold,463 sqft,1,1,"S$ 1,092,800 ","S$ 2,360.26 psf",Condominium,New Project: 2023,1.2998,103.89961
78,175 Bencoolen Street,Burlington Square,1998,1119 sqft,3,3,"S$ 1,450,000 ","S$ 1,295.80 psf",99-year Leasehold,Apartment,1.30221,103.8524985
79,2 Saint Martin's Drive,St. Martin Residence,2001,2013 sqft,2,2,"S$ 3,100,000 ","S$ 1,539.99 psf",Freehold,Condominium,1.306206,103.8245175
80,258B Punggol Field,258B Punggol Field,2014,1001 sqft,2,3,"S$ 470,000 ",S$ 469.53 psf,99-year Leasehold,HDB Apartment,1.4049,103.90272
81,163 Simei Road,163 Simei Road,1988,1312 sqft,2,3,"S$ 570,000 ",S$ 434.45 psf,99-year Leasehold,HDB Apartment,1.346004,103.9592025
82,276 Ocean Drive,The Coast @ Sentosa Cove,2010,2024 sqft,4,3,"S$ 3,450,000 ","S$ 1,704.55 psf",99-year Leasehold,Condominium,1.28626,103.84244
83,21 Compassvale Road,The Luxurie,2015,732 sqft,2,2,"S$ 900,000 ","S$ 1,229.51 psf",99-year Leasehold,Condominium,1.389393,103.8962205
84,10 Alexandra View,Artra,99-year Leasehold,786 sqft,2,2,"S$ 1,700,000 ","S$ 2,162.85 psf",Condominium,New Project: 2021,1.290527695,103.8165717508
85,Treasure Island,Sentosa Cove,2011,"9000 sqft, 8500 sqft (land)",5,5,"S$ 15,000,000 ","S$ 1,764.71 psf",99-year Leasehold,Detached House,1.24913,103.84242
86,15 Tanjong Katong Road,Katong Regency,2015,549 sqft,1,1,"S$ 1,080,000 ","S$ 1,967.21 psf",Freehold,Condominium,1.3,103.9
87,25 Dakota Crescent,Waterbank @ Dakota,2013,1141 sqft,3,3,"S$ 1,800,000 ","S$ 1,577.56 psf",99-year Leasehold,Condominium,1.3063500000000001,103.88428
88,5 Lorong 39 Geylang,D'weave,2015,1410 sqft,2,3,"S$ 1,379,888 ",S$ 978.64 psf,Freehold,Condominium,1.315539,103.8904605
89,3 Marine Terrace,3 Marine Terrace,1974,1291 sqft,2,4,"S$ 980,000 ",S$ 759.10 psf,99-year Leasehold,HDB Apartment,1.304109,103.917735
90,129 Potong Pasir Avenue 1,129 Potong Pasir Avenue 1,1983,1733 sqft,3,3,"S$ 988,000 ",S$ 570.11 psf,99-year Leasehold,HDB Apartment,1.334763,103.865544
91,70 Dakota Crescent,Waterbank @ Dakota,2013,1130 sqft,2,3,"S$ 1,900,000 ","S$ 1,681.42 psf",99-year Leasehold,Condominium,1.306656,103.8880845
92,710 Upper Changi Road East,Changi Court,1997,1098 sqft,3,3,"S$ 1,300,000 ","S$ 1,183.97 psf",Freehold,Condominium,1.3434300000000001,103.9628745
93,780D Woodlands Crescent,780D Woodlands Crescent,2014,991 sqft,2,3,"S$ 420,000 ",S$ 423.81 psf,99-year Leasehold,HDB Apartment,1.448118,103.8019455
94,102 Punggol Dr,Riverparc Residence,2014,990 sqft,2,3,"S$ 880,000 ",S$ 888.89 psf,99-year Leasehold,Executive Condominium,1.40246,103.90686
95,259 Arcadia Road,Hillcrest Arcadia,1980,1712 sqft,3,3,"S$ 1,888,888 ","S$ 1,103.32 psf",99-year Leasehold,Condominium,1.335033,103.808358
96,14 Amber Gardens,Amber Park,Freehold,700 sqft,2,2,"S$ 1,598,000 ","S$ 2,282.86 psf",Condominium,New Project: 2023,1.3002479999999998,103.8995415
97,10 Margate Road,Meier Suites,2011,1798 sqft,3,3,"S$ 3,230,000 ","S$ 1,796.44 psf",Freehold,Apartment,1.29879,103.888575
98,2 Fourth Avenue,Fourth Avenue Residences,99-year Leasehold,484 sqft,1,1,"S$ 1,057,000 ","S$ 2,183.88 psf",Condominium,New Project: 2022,1.3289226072,103.797050016
99,43 Marine Crescent,43 Marine Crescent,1975,1292 sqft,2,3,"S$ 798,000 ",S$ 617.65 psf,99-year Leasehold,HDB Apartment,1.3055219999999998,103.9130235
100,33 Tanglin Road,St. Regis Residences Singapore,2008,1507 sqft,4,3,"S$ 4,350,000 ","S$ 2,886.53 psf",999-year Leasehold,Apartment,1.31667,103.81667
101,179 Tanjong Rhu Road,Water Place,2004,1216 sqft,3,3,"S$ 1,620,000 ","S$ 1,332.24 psf",99-year Leasehold,Condominium,1.296234,103.872132
102,17 Telok Blangah Crescent,17 Telok Blangah Crescent,2000,1291 sqft,2,3,"S$ 700,000 ",S$ 542.22 psf,99-year Leasehold,HDB Apartment,1.277766,103.8217005
103,26 Jalan Datoh,Vista Residences,2013,1313 sqft,3,3,"S$ 2,250,000 ","S$ 1,713.63 psf",Freehold,Condominium,1.32847,103.8429
104,565 Hougang Street 51,565 Hougang Street 51,1991,1119 sqft,2,3,"S$ 395,000 ",S$ 352.99 psf,99-year Leasehold,HDB Apartment,1.380519,103.887954
105,33 Jalan Singa,Singa Hills,2016,463 sqft,1,1,"S$ 850,000 ","S$ 1,835.85 psf",Freehold,Apartment,1.330137,103.908285
106,SUNRISE / CACTUS / SELETAR HILLS,★ GIGANTIC ALMOST NEW 3. 5 STY SEMI-D W/ LIFT @ SUNRISE ★,2017,"7000 sqft, 3450 sqft (land)",7,6,"S$ 4,980,000 ","S$ 1,443.48 psf",Freehold,Semi-Detached House,1.3896675,103.8551175
107,386 Bukit Batok West Avenue 5,386 Bukit Batok West Avenue 5,2003,1270 sqft,2,3,"S$ 650,000 ",S$ 511.81 psf,99-year Leasehold,HDB Apartment,1.36813,103.7496
108,2 Indus Road,Emerald Park,1993,1130 sqft,3,3,"S$ 1,530,000 ","S$ 1,353.98 psf",99-year Leasehold,Condominium,1.2894839999999999,103.830084
109,3 Miltonia Close,Skies Miltonia,2016,721 sqft,2,2,"S$ 770,000 ","S$ 1,067.96 psf",99-year Leasehold,Condominium,,
110,101 Cardiff Grove,Cardiff Residence,2015,624 sqft,1,2,"S$ 750,000 ","S$ 1,201.92 psf",99-year Leasehold,Condominium,1.355175,103.8664485
111,1 Simei Street 3,Eastpoint Green,1998,1141 sqft,3,3,"S$ 900,000 ",S$ 788.78 psf,99-year Leasehold,Condominium,1.339542,103.9510215
112,18 Marina Boulevard,Marina Bay Residences,2010,1066 sqft,2,2,"S$ 2,530,000 ","S$ 2,373.36 psf",99-year Leasehold,Condominium,1.279647,103.8549735
113,200 Loyang Avenue,Loyang Valley,1985,1873 sqft,3,3,"S$ 1,800,000 ",S$ 961.03 psf,99-year Leasehold,Condominium,1.368549,103.9701735
114,,Vibes @ Kovan,2015,495 sqft,1,1,"S$ 700,000 ","S$ 1,414.14 psf",Freehold,Condominium,,
115,77 Indus Road,77 Indus Road,1972,678 sqft,2,2,"S$ 360,000 ",S$ 530.97 psf,99-year Leasehold,HDB Apartment,1.291131,103.826763
116,239 Lorong 1 Toa Payoh,239 Lorong 1 Toa Payoh,1986,1291 sqft,2,3,"S$ 708,000 ",S$ 548.41 psf,99-year Leasehold,HDB Apartment,1.33448,103.85108
117,Jalan Hwi Yoh,Serangoon Garden View,2010,2185 sqft,4,4,"S$ 2,100,000 ",S$ 961.10 psf,999-year Leasehold,Cluster House,1.3635612755,103.8734671357
118,15 Upper Boon Keng Road,15 Upper Boon Keng Road,1974,947 sqft,2,3,"S$ 450,000 ",S$ 475.18 psf,99-year Leasehold,HDB Apartment,1.315872,103.871295
119,Lim Teck Boo Road,"Affordable Large Semi-D (almost 4000sf) for only $1, 0XXpsf",1996,"4200 sqft, 3884 sqft (land)",5,5,"S$ 4,100,000 ","S$ 1,055.61 psf",Freehold,Semi-Detached House,1.3439842233000001,103.8847909508
120,80 Elias Road,Stratum,2016,1098 sqft,3,3,"S$ 1,220,000 ","S$ 1,111.11 psf",99-year Leasehold,Condominium,1.378854,103.9432815
121,8 River Valley Close,The Avenir,Freehold,829 sqft,2,2,"S$ 2,430,000 ","S$ 2,931.24 psf",Condominium,New Project: 2023,1.294794,103.8367575
122,334 Jurong East Avenue 1,334 Jurong East Avenue 1,1983,1679 sqft,3,4,"S$ 565,000 ",S$ 336.51 psf,99-year Leasehold,HDB Apartment,1.350783,103.731534
123,295 Ocean Drive,The Oceanfront @ Sentosa Cove,2010,2992 sqft,4,4,"S$ 4,500,000 ","S$ 1,504.01 psf",99-year Leasehold,Condominium,1.28626,103.84244
124,641B Punggol Drive,641B Punggol Drive,2003,1184 sqft,2,3,"S$ 450,000 ",S$ 380.07 psf,99-year Leasehold,HDB Apartment,1.40246,103.90686
125,16 Enggor Street,Altez,2014,861 sqft,1,1,"S$ 1,720,000 ","S$ 1,997.68 psf",99-year Leasehold,Condominium,1.274616,103.8443175
126,333B Anchorvale Link,333B Anchorvale Link,2014,1206 sqft,2,3,"S$ 625,000 ",S$ 518.24 psf,99-year Leasehold,HDB Apartment,1.394577,103.8914235
127,100 Punggol Drive,Riverparc Residence,2014,990 sqft,2,3,"S$ 926,000 ",S$ 935.35 psf,99-year Leasehold,Condominium,1.40246,103.90686
128,23 Marina Way,Marina One Residences,2017,1044 sqft,2,2,"S$ 2,943,000 ","S$ 2,818.97 psf",99-year Leasehold,Condominium,1.277226,103.8536955
129,216 Serangoon Avenue 4,216 Serangoon Avenue 4,1984,1302 sqft,2,3,"S$ 668,000 ",S$ 513.06 psf,99-year Leasehold,HDB Apartment,1.357551,103.87314
130,Commonwealth Avenue,Commonwealth Towers,2017,463 sqft,1,1,"S$ 870,000 ","S$ 1,879.05 psf",99-year Leasehold,Condominium,1.307697712,103.7916296309
131,272C Punggol Walk,272C Punggol Walk,2012,1011 sqft,2,2,"S$ 580,000 ",S$ 573.69 psf,99-year Leasehold,HDB Apartment,1.402857,103.900068
132,59 Flora Drive,The Inflora,2017,743 sqft,2,2,"S$ 760,000 ","S$ 1,022.88 psf",99-year Leasehold,Condominium,1.356327,103.966578
133,72 Tanah Merah Kechil Avenue,Casa Merah,2009,947 sqft,2,2,"S$ 1,220,000 ","S$ 1,288.28 psf",99-year Leasehold,Condominium,1.328571,103.945689
134,,Richards Avenue,2017,4962 sqft,6,6,"S$ 3,350,000 ",S$ 675.13 psf,Freehold,Town House,,
135,203 Tampines Street 21,203 Tampines Street 21,1982,805 sqft,2,2,"S$ 338,000 ",S$ 419.88 psf,99-year Leasehold,HDB Apartment,1.352214,103.9524525
136,25 Dakota Crescent,Waterbank @ Dakota,2013,624 sqft,1,2,"S$ 1,200,000 ","S$ 1,923.08 psf",99-year Leasehold,Condominium,1.3063500000000001,103.88428
137,35 Jalan Haji Alias,Corona Ville,1982,1528 sqft,3,3,"S$ 2,250,000 ","S$ 1,472.51 psf",Freehold,Condominium,1.322451,103.7947095
138,,141 Upper East Coast Road,2020,"6405 sqft, 2956 sqft (land)",5,5,"S$ 6,380,000 ","S$ 2,158.32 psf",Freehold,Semi-Detached House,,
139,64 Flora Drive,Parc Olympia,2015,1163 sqft,3,3,"S$ 1,100,000 ",S$ 945.83 psf,99-year Leasehold,Condominium,1.355769,103.964922
140,2 Ghim Moh Road,2 Ghim Moh Road,1975,818 sqft,2,2,"S$ 380,000 ",S$ 464.55 psf,99-year Leasehold,HDB Apartment,1.31238,103.7869695
141,65 Lloyd Road,Lloyd Sixtyfive,2016,1808 sqft,2,2,"S$ 5,365,000 ","S$ 2,967.37 psf",Freehold,Condominium,1.297206,103.838976
142,406C Fernvale Road,406C Fernvale Road,2003,1184 sqft,2,3,"S$ 478,000 ",S$ 403.72 psf,99-year Leasehold,HDB Apartment,1.388682,103.8747015
143,29 Keppel Bay View,Reflections @ Keppel Bay,2013,1163 sqft,2,3,"S$ 2,050,000 ","S$ 1,762.68 psf",99-year Leasehold,Condominium,1.2684598543,103.8143725106
144,Sengkang Square,La Fiesta,2016,1421 sqft,4,5,"S$ 1,820,000 ","S$ 1,280.79 psf",99-year Leasehold,Condominium,1.3910665803,103.8942452098
145,713 Hougang Avenue 2,The Florence Residences,99-year Leasehold,484 sqft,1,1,"S$ 698,000 ","S$ 1,442.15 psf",Condominium,New Project: 2023,1.365939,103.886514
146,192A Rivervale Drive,192A Rivervale Drive,1998,1238 sqft,2,3,"S$ 438,000 ",S$ 353.80 psf,99-year Leasehold,HDB Apartment,1.394325,103.90347
147,2 Marina Boulevard,The Sail @ Marina Bay,2008,893 sqft,2,2,"S$ 1,650,000 ","S$ 1,847.70 psf",99-year Leasehold,Apartment,1.280772,103.8526605
148,66 Marine Parade Road,Cote D'azur,2005,1152 sqft,2,2,"S$ 1,630,000 ","S$ 1,414.93 psf",99-year Leasehold,Condominium,1.300599,103.904604
149,Metropole Drive,Brand New Freehold Terrace in Opera Estate with Lift,2019,"4000 sqft, 1740 sqft (land)",5,5,"S$ 3,800,000 ","S$ 2,183.91 psf",Freehold,Terraced House,1.3213979999999999,103.925196
150,679A Jurong West Central 1,679A Jurong West Central 1,1998,1442 sqft,2,4,"S$ 628,000 ",S$ 435.51 psf,99-year Leasehold,HDB Apartment,1.33949,103.70739
151,1 Bedok South Avenue 3,Grandeur Park Residences,99-year Leasehold,1453 sqft,5,5,"S$ 2,084,000 ","S$ 1,434.27 psf",Condominium,New Project: 2021,1.32084,103.9473945
152,,148 langsat road,2019,"4730 sqft, 1780 sqft (land)",7,5,"S$ 4,200,000 ","S$ 2,359.55 psf",Freehold,Terraced House,,
153,91 West Coast Vale,Twin Vew,99-year Leasehold,1378 sqft,3,4,"S$ 1,864,000 ","S$ 1,352.69 psf",Condominium,New Project: 2022,1.31152007,103.7596300039
154,509 Bedok Reservoir,Archipelago,2015,527 sqft,1,1,"S$ 698,000 ","S$ 1,324.48 psf",99-year Leasehold,Condominium,1.34261,103.92539
155,57 Tampines Avenue 1,The Tropica,2001,1518 sqft,4,4,"S$ 1,580,000 ","S$ 1,040.84 psf",99-year Leasehold,Condominium,1.347309,103.9274595
156,166 Yishun Ring Road,166 Yishun Ring Road,1986,1302 sqft,2,3,"S$ 448,000 ",S$ 344.09 psf,99-year Leasehold,HDB Apartment,1.43621,103.83582
157,30 Middle Road,The M,99-year Leasehold,527 sqft,1,1,"S$ 1,429,000 ","S$ 2,711.57 psf",Condominium,New Project: 2024,1.2994527049,103.852861492
