,Address,Building Name,Built On,Land Area,Number of Bathroom,Number of Bedroom,Price,Price per sqft,Tenure,Type,latitude,longitude
3994,545 Bedok North Street 3,545 Bedok North Street 3,1979,1001 sqft,2,3,"S$ 400,000 ",S$ 399.60 psf,99-year Leasehold,HDB Apartment,1.33278,103.93165
3995,19 Flora Road,Avila Gardens,1995,1301 sqft,3,3,"S$ 1,215,999 ",S$ 934.66 psf,Freehold,Condominium,1.360125,103.9656555
3996,Upper Serangoon View,Kingsford Waterbay,2018,678 sqft,2,2,"S$ 920,000 ","S$ 1,356.93 psf",99-year Leasehold,Condominium,1.3748032243,103.9030419183
3997,131 Mackenzie Road,The Mkz,2017,517 sqft,1,2,"S$ 1,100,000 ","S$ 2,127.66 psf",Freehold,Apartment,1.306611,103.8465945
3998,Alexandra View,Alex Residences,2017,1043 sqft,3,3,"S$ 1,980,000 ","S$ 1,898.37 psf",99-year Leasehold,Apartment,1.290527695,103.8165717508
3999,9 Holland Avenue,9 Holland Avenue,1973,699 sqft,2,2,"S$ 395,000 ",S$ 565.09 psf,99-year Leasehold,HDB Apartment,1.307556,103.794444
4000,56 Cassia Crescent,56 Cassia Crescent,1996,1291 sqft,2,3,"S$ 920,000 ",S$ 712.63 psf,99-year Leasehold,HDB Apartment,1.3102200000000002,103.8832335
4001,5 Upper Aljunied Lane,5 Upper Aljunied Lane,1968,613 sqft,1,2,"S$ 225,000 ",S$ 367.05 psf,99-year Leasehold,HDB Apartment,1.333728,103.879899
4002,23 Keppel Bay View,Reflections at Keppel Bay,2013,1539 sqft,3,3,"S$ 2,660,000 ","S$ 1,728.40 psf",99-year Leasehold,Condominium,1.2665250000000001,103.809834
4003,Pasir Ris Grove,Coco Palms,2019,753 sqft,2,2,"S$ 928,000 ","S$ 1,232.40 psf",99-year Leasehold,Condominium,1.3719963153,103.9448030088
4004,1 Bukit Batok Street 25,Parkview Apartments,1998,1119 sqft,2,3,"S$ 850,000 ",S$ 759.61 psf,99-year Leasehold,Apartment,1.341081,103.760406
4005,69 Punggol Central,Watertown,2017,527 sqft,1,1,"S$ 820,000 ","S$ 1,555.98 psf",99-year Leasehold,Condominium,1.4100300000000001,103.90594
4006,9 One-North Gateway,One-north Residences,2009,1077 sqft,1,1,"S$ 1,530,000 ","S$ 1,420.61 psf",99-year Leasehold,Apartment,1.301706,103.7899665
4007,213 Guillemard Road,Guillemard Suites,2017,614 sqft,2,2,"S$ 938,888 ","S$ 1,529.13 psf",Freehold,Apartment,1.310949,103.8827205
4008,258C Punggol Field,258C Punggol Field,2014,1216 sqft,2,2,"S$ 650,000 ",S$ 534.54 psf,99-year Leasehold,HDB Apartment,1.4049,103.90272
4009,8 Keng Chin Road,Cyan,2014,1023 sqft,2,2,"S$ 2,480,000 ","S$ 2,424.24 psf",Freehold,Condominium,1.317249,103.8299715
4010,93 Dawson Road,93 Dawson Road,2015,893 sqft,2,3,"S$ 888,000 ",S$ 994.40 psf,99-year Leasehold,HDB Apartment,1.295055,103.8115485
4011,364 Tampines Street 34,364 Tampines Street 34,1995,1291 sqft,2,3,"S$ 495,000 ",S$ 383.42 psf,99-year Leasehold,HDB Apartment,1.3569390000000001,103.959873
4012,548B Segar Road,548B Segar Road,2014,990 sqft,2,3,"S$ 425,000 ",S$ 429.29 psf,99-year Leasehold,HDB Apartment,1.38942,103.7685735
