,area,bathroom,bedroom,lat,long,school,mrt,age,type_condo,type_hdb,bathroom_area,bedroom_area,remaining_area,convenience,distance_from_central,price_sqft
0,1270,2,3,1.345383,103.74604649999999,3,0,25,0,1,127.0,476.25,666.75,3,10.582454410118931,429.92
1,1270,2,3,1.3735709999999999,103.85155350000001,2,1,40,0,1,127.0,476.25,666.75,3,8.002257882386179,533.86
2,990,2,2,1.31535,103.77085500000001,2,0,43,0,1,99.0,247.5,643.5,2,6.895952316139376,459.6
3,1400,2,3,1.4482709999999999,103.813344,4,0,21,0,1,140.0,525.0,735.0,4,16.085163461706994,371.43
4,905,2,3,1.372392,103.8890385,6,1,35,0,1,90.5,339.375,475.125,7,9.889811447406728,386.74
5,1001,2,3,1.3699620000000001,103.947453,0,1,6,0,1,100.10000000000001,375.375,525.525,1,14.796151926769019,579.42
6,1184,2,3,1.34995,103.75199,3,1,18,0,1,118.4,444.0,621.5999999999999,4,10.231368275604112,540.54
7,710,2,2,1.32047,103.86231,2,1,49,0,1,71.0,177.5,461.5,3,3.8552720184556075,457.75
8,721,2,2,1.329048,103.9373235,6,0,43,0,1,72.10000000000001,180.25,468.65,6,12.0681054533862,386.96
9,1194,2,3,1.3513680000000001,103.71750300000001,3,0,36,0,1,119.4,447.75,626.8499999999999,3,13.754773042180192,268.01
10,1022,2,3,1.35873,103.830642,1,0,32,0,1,102.2,383.25,536.55,1,6.054087599289085,508.81
11,1206,2,3,1.385415,103.892985,7,1,6,0,1,120.60000000000001,452.25,633.1500000000001,8,11.289590653008048,514.1
12,721,2,2,1.321407,103.76710200000001,2,0,42,0,1,72.10000000000001,180.25,468.65,2,7.451419591077166,454.92
13,1205,2,3,1.40246,103.90686,9,0,5,0,1,120.5,451.875,632.625,9,13.724590987979829,539.42
14,1743,3,5,1.429893,103.774644,2,1,32,0,1,261.45000000000005,1089.375,392.17499999999995,3,15.305064815085363,372.92
15,936,2,3,1.336158,103.9214925,1,1,6,0,1,93.60000000000001,351.0,491.4,2,10.59855704491076,705.13
16,1001,2,3,1.4049,103.90272,7,1,6,0,1,100.10000000000001,375.375,525.525,8,13.668414532584016,469.53
17,1312,2,3,1.346004,103.9592025,2,1,32,0,1,131.20000000000002,492.0,688.8,3,14.922176329407087,434.45
18,991,2,3,1.448118,103.8019455,4,0,6,0,1,99.10000000000001,371.625,520.275,4,16.279061693822804,423.81
19,1292,2,3,1.3055219999999998,103.9130235,3,0,45,0,1,129.20000000000002,484.5,678.3,3,9.043017995206782,617.65
20,1291,2,3,1.277766,103.8217005,3,0,20,0,1,129.1,484.125,677.7750000000001,3,3.109314255821895,542.22
21,1119,2,3,1.380519,103.88795400000001,6,0,29,0,1,111.9,419.625,587.475,6,10.520735845228748,352.99
22,1270,2,3,1.3681299999999998,103.7496,2,0,17,0,1,127.0,476.25,666.75,2,11.573584148445876,511.81
23,678,2,2,1.291131,103.826763,2,0,48,0,1,67.8,169.5,440.70000000000005,2,1.5277641690327928,530.97
24,1291,2,3,1.3344799999999999,103.85108000000001,4,1,34,0,1,129.1,484.125,677.7750000000001,5,3.997286446618688,548.41
25,947,2,3,1.315872,103.87129499999999,0,1,46,0,1,94.7,355.125,497.17499999999995,1,4.589472835570965,475.18
26,1679,3,4,1.350783,103.731534,1,0,37,0,1,251.85000000000005,839.5,587.6499999999999,1,12.297958565473857,336.51
27,1184,2,3,1.40246,103.90686,9,0,17,0,1,118.4,444.0,621.5999999999999,9,13.724590987979829,380.07
28,1206,2,3,1.394577,103.8914235,5,0,6,0,1,120.60000000000001,452.25,633.1500000000001,5,12.016094275616368,518.24
29,1302,2,3,1.357551,103.87314,2,0,36,0,1,130.20000000000002,488.25,683.55,2,7.500647876145325,513.06
30,1011,2,2,1.402857,103.900068,6,1,8,0,1,101.10000000000001,252.75,657.15,7,13.313995627625962,573.69
31,805,2,2,1.352214,103.9524525,6,0,38,0,1,80.5,201.25,523.25,6,14.449274326106822,419.88
32,818,2,2,1.3123799999999999,103.7869695,1,0,45,0,1,81.80000000000001,204.5,531.7,1,5.072746789931581,464.55
33,1184,2,3,1.388682,103.8747015,2,0,17,0,1,118.4,444.0,621.5999999999999,2,10.5124781810943,403.72
34,1238,2,3,1.394325,103.90347,8,0,22,0,1,123.80000000000001,464.25,649.95,8,12.783709449966775,353.8
35,1442,2,4,1.33949,103.70739,3,1,22,0,1,144.20000000000002,721.0,576.8,4,14.389338334295804,435.51
36,1302,2,3,1.43621,103.83582,4,0,34,0,1,130.20000000000002,488.25,683.55,4,14.627008876942448,344.09
37,1280,2,3,1.33949,103.70739,3,1,23,0,1,128.0,480.0,672.0,4,14.389338334295804,382.81
38,1431,2,3,1.3494329999999999,103.939254,3,1,37,0,1,143.1,536.625,751.2750000000001,4,12.973149829807445,375.96
39,1453,2,3,1.351593,103.72464000000001,3,0,36,0,1,145.3,544.875,762.825,3,13.033902193274558,314.44
40,1312,2,3,1.3453110000000001,103.953186,4,1,33,0,1,131.20000000000002,492.0,688.8,5,14.26266584020459,445.88
41,1055,2,3,1.322829,103.9328505,3,1,44,0,1,105.5,395.625,553.875,4,11.439208060154105,445.5
42,1572,2,3,1.3784399999999999,103.9383135,2,0,27,0,1,157.20000000000002,589.5,825.3,2,14.433607966055197,384.86
43,1184,2,3,1.348632,103.940289,3,1,36,0,1,118.4,444.0,621.5999999999999,4,13.045652069922813,337.84
44,720,2,2,1.383813,103.898808,5,0,11,0,1,72.0,180.0,468.0,5,11.556136799214142,511.11
45,1184,2,3,1.281159,103.827267,3,0,19,0,1,118.4,444.0,621.5999999999999,3,2.5741635124194597,717.91
46,904,2,3,1.3525200000000002,103.87035999999999,4,2,36,0,1,90.4,339.0,474.6,6,6.872237096588492,575.22
47,990,2,3,1.4077709999999999,103.8995865,4,1,5,0,1,99.0,371.25,519.75,5,13.734128448158938,543.43
48,968,2,3,1.350072,103.85253900000001,2,2,34,0,1,96.80000000000001,363.0,508.20000000000005,4,5.59458725428144,618.69
49,1323,2,3,1.309707,103.789098,2,2,44,0,1,132.3,496.125,694.575,4,4.792196802382537,702.95
50,1324,2,3,1.348047,103.8507255,3,2,34,0,1,132.4,496.5,695.0999999999999,5,5.3081043029381645,655.59
51,1625,2,3,1.37916,103.76743950000001,5,0,34,0,1,162.5,609.375,853.125,5,10.970898211014797,400.0
52,1335,2,4,1.277397,103.8204675,2,0,22,0,1,133.5,667.5,534.0,2,3.198888988785635,539.33
53,710,1,3,1.325439,103.9262085,2,1,47,0,1,35.5,266.25,408.25,3,10.773049425782238,422.54
54,1206,2,3,1.388088,103.907889,4,0,19,0,1,120.60000000000001,452.25,633.1500000000001,4,12.578171412297342,373.13
55,990,2,3,1.36752,103.85505,3,0,42,0,1,99.0,371.25,519.75,3,7.486787831206569,463.64
56,893,2,3,1.318311,103.8629205,2,1,49,0,1,89.30000000000001,334.875,468.82500000000005,3,3.8100388063286927,524.08
57,990,2,3,1.408005,103.8990735,4,1,5,0,1,99.0,371.25,519.75,5,13.724520045509408,533.33
58,1119,2,3,1.352960022,103.88378,2,0,36,0,1,111.9,419.625,587.475,2,7.925088255277956,339.59
59,947,1,2,1.2843,103.830516,2,1,71,0,1,47.35,236.75,662.9,3,2.181883098848372,705.39
60,1001,2,2,1.4049,103.90272,7,1,6,0,1,100.10000000000001,250.25,650.65,8,13.668414532584016,469.53
61,689,2,2,1.364814,103.8657555,2,0,34,0,1,68.9,172.25,447.85,2,7.715403530509826,478.96
62,1205,2,3,1.4049,103.90272,7,1,8,0,1,120.5,451.875,632.625,8,13.668414532584016,438.17
63,1496,3,4,1.380141,103.7372175,2,0,24,0,1,224.40000000000003,748.0,523.5999999999999,2,13.477971245465211,401.07
64,635,1,2,1.2828,103.81786,2,0,45,0,1,31.75,158.75,444.5,2,2.8091243090904587,472.44
65,990,2,3,1.393551,103.87448549999999,3,0,7,0,1,99.0,371.25,519.75,3,10.98438267399708,454.55
66,720,2,2,1.3050899999999999,103.7671965,0,0,41,0,1,72.0,180.0,468.0,0,7.188801144736227,375.0
67,721,2,2,1.3175729999999999,103.767975,2,1,40,0,1,72.10000000000001,180.25,468.65,3,7.258191355430413,485.44
68,1302,2,3,1.351791,103.95475649999999,5,0,36,0,1,130.20000000000002,488.25,683.55,5,14.670977771130492,364.82
69,700,1,2,1.3344799999999999,103.85108000000001,4,1,48,0,1,35.0,175.0,490.0,5,3.997286446618688,542.86
70,1001,2,3,1.4049,103.90272,7,1,6,0,1,100.10000000000001,375.375,525.525,8,13.668414532584016,474.53
71,1205,2,3,1.432485,103.844367,4,0,7,0,1,120.5,451.875,632.625,4,14.277074781095635,454.77
72,742,2,2,1.272483,103.824702,2,0,38,0,1,74.2,185.5,482.29999999999995,2,3.5719820685253483,525.61
73,1012,2,3,1.393398,103.8766455,3,0,9,0,1,101.2,379.5,531.3,3,11.07539917103917,422.92
74,732,2,2,1.43621,103.83582,4,0,6,0,1,73.2,183.0,475.79999999999995,4,14.627008876942448,475.41
75,1571,2,4,1.352916,103.938795,4,0,26,0,1,157.10000000000002,785.5,628.4000000000001,4,13.080588587486192,515.6
76,1108,2,3,1.350945,103.943079,7,2,37,0,1,110.80000000000001,415.5,581.7,9,13.430363450083819,451.26
77,721,2,2,1.3293,103.922415,1,0,40,0,1,72.10000000000001,180.25,468.65,1,10.467606393942914,381.41
78,1087,1,3,1.307679963,103.8515001,3,4,32,0,1,54.35,407.625,625.0250000000001,7,2.2320318326043083,542.78
79,1518,2,4,1.348803,103.7289825,2,0,36,0,1,151.8,759.0,607.2,2,12.467510908458303,428.19
80,1690,3,3,1.3548959999999999,103.72125600000001,2,0,37,0,1,253.50000000000003,633.75,802.75,2,13.527142349345322,355.03
81,678,2,3,1.2828,103.81786,2,0,46,0,1,67.8,254.25,355.95000000000005,2,2.8091243090904587,471.98
