Built,area,bathroom,bedroom,price_sqft,Type,latitude,longitude
2014,861.0,1,1,1997.68,Condo,1.274616,103.8443175
2014,1206.0,2,3,518.24,HDB,1.394577,103.8914235
2014,990.0,2,3,935.35,Condo,1.40246,103.90686
2017,1044.0,2,2,2818.97,Condo,1.277226,103.8536955
1984,1302.0,2,3,513.06,HDB,1.357551,103.87314
2017,463.0,1,1,1879.05,Condo,1.307697712,103.7916296309
2012,1011.0,2,2,573.69,HDB,1.402857,103.900068
2017,743.0,2,2,1022.88,Condo,1.356327,103.966578
2009,947.0,2,2,1288.28,Condo,1.328571,103.945689
1982,805.0,2,2,419.88,HDB,1.352214,103.9524525
2013,624.0,1,2,1923.08,Condo,1.30635,103.88428
1982,1528.0,3,3,1472.51,Condo,1.322451,103.7947095
2015,1163.0,3,3,945.83,Condo,1.355769,103.964922
1975,818.0,2,2,464.55,HDB,1.3123799999999999,103.7869695
2016,1808.0,2,2,2967.37,Condo,1.2972059999999999,103.838976
2003,1184.0,2,3,403.72,HDB,1.388682,103.8747015
2013,1163.0,2,3,1762.68,Condo,1.2684598543,103.8143725106
2016,1421.0,4,5,1280.79,Condo,1.3910665803,103.89424520979999
1998,1238.0,2,3,353.8,HDB,1.394325,103.90347
2008,893.0,2,2,1847.7,Condo,1.280772,103.8526605
2005,1152.0,2,2,1414.93,Condo,1.300599,103.904604
1998,1442.0,2,4,435.51,HDB,1.33949,103.70739
2015,527.0,1,1,1324.48,Condo,1.34261,103.92539000000001
2001,1518.0,4,4,1040.84,Condo,1.347309,103.9274595
1986,1302.0,2,3,344.09,HDB,1.43621,103.83582
2016,1313.0,3,3,3274.94,Condo,1.277127,103.8458115
2016,560.0,1,2,1625.0,Condo,1.343997,103.8732255
2011,592.0,1,1,2407.09,Condo,1.294164,103.838427
2015,517.0,1,1,1740.81,Condo,1.324287,103.928787
1997,1280.0,2,3,382.81,HDB,1.33949,103.70739
1981,1615.0,3,3,1040.25,Condo,1.33333,103.85
2003,1098.0,2,2,851.55,Condo,1.358649,103.9652865
2012,1679.0,3,3,1965.46,Condo,1.34041,103.77221
2017,700.0,2,2,1598.41,Condo,1.3268520000000001,103.94852850000001
2011,980.0,2,3,775.51,HDB,1.371771,103.853961
1983,1431.0,2,3,375.96,HDB,1.349433,103.939254
2017,398.0,2,1,1603.02,Condo,1.310949,103.88272049999999
2011,1259.0,3,3,953.14,Condo,1.3728870000000002,103.9436865
1984,1453.0,2,3,314.44,HDB,1.351593,103.72464000000001
2017,818.0,2,2,2872.86,Condo,1.299159,103.857858
1987,1312.0,2,3,445.88,HDB,1.3453110000000001,103.953186
1976,1055.0,2,3,445.5,HDB,1.322829,103.9328505
2015,786.0,2,2,1119.59,Condo,1.36377,103.89531600000001
