name,lat ,lng
Teck Ghee Primary School,1.365621,103.850577
Tech Whye Primary School,1.384021,103.753717
Telok Kurau Primary School,1.331092,103.911395
Temasek Primary School,1.317749,103.945499
Townsville Primary School,1.360128,103.853783
Unity Primary School,1.403524,103.747258
Valour Primary School,1.40656,103.899521
Waterway Primary School,1.399247,103.918471
Wellington Primary School,1.452006,103.822622
West Grove Primary School,1.344758,103.698943
West Spring Primary School,1.38947,103.766255
West View Primary School,1.383792,103.760163
Westwood Primary School,1.3473,103.700482
White Sands Primary School,1.365524,103.961082
Woodgrove Primary School,1.433285,103.790079
Woodlands Primary School,1.436835,103.791794
Woodlands Ring Primary School,1.434616,103.797899
Xinghua Primary School,1.357936,103.890151
Xingnan Primary School,1.342873,103.687769
Xinmin Primary School,1.371435,103.883053
Xishan Primary School,1.433574,103.837839
Yangzheng primary School,1.348878,103.868312
Yew tee Primary School,1.397042,103.751185
Yio Chu Kang Primary School,1.378106,103.885593
Yishun primary School,1.4336,103.833823
Yu Neng Primary School,1.333894,103.931897
Yuhua Primary School,1.34301,103.740922
Yumin Primary School,1.351727,103.951114
Zhangde Primary School,1.284664,103.826172
Zhenghua Primary School,1.380246,103.769201
Zhonghua Primary School,1.360185,103.869601
