area,bathroom,bedroom,Type,latitude,longitude,school,mrt,age_of_building,bathroom_area,bedroom_area,remaining_area,convenience,distance_from_central,price_sqft
431.0,1,1,Condo,1.323504,103.8479985,0.0,0.0,5,21.55,53.875,355.575,0.0,2.812922369672948,1972.16
1614.0,4,4,Condo,1.35684,103.765428,0.0,0.0,20,322.8,807.0,484.20000000000005,0.0,9.41704479333806,1053.28
1701.0,3,3,Condo,1.3092899961,103.8020800084,0.0,0.0,8,255.15000000000003,637.875,807.9749999999999,0.0,3.3570857819964415,2115.81
786.0,2,2,Condo,1.377279,103.960998,2.0,0.0,4,78.60000000000001,196.5,510.9,2.0,16.506548927002708,1017.81
926.0,2,2,Condo,1.289484,103.830084,3.0,1.0,27,92.60000000000001,231.5,601.9,4.0,1.615201881547237,1490.28
1313.0,3,4,Condo,1.3477958449,103.74473015,3.0,0.0,0,196.95000000000002,656.5,459.54999999999995,3.0,10.831377025942976,1377.0
689.0,1,1,Condo,1.280772,103.8526605,0.0,3.0,12,34.45,86.125,568.425,3.0,3.4627785831027076,2104.5
635.0,1,1,Condo,1.364787,103.764168,1.0,1.0,4,31.75,79.375,523.875,2.0,10.090276455728112,1354.33
1119.0,3,3,Condo,1.30221,103.8524985,2.0,4.0,22,167.85000000000002,419.625,531.525,6.0,2.3139532667383684,1295.8
2013.0,2,2,Condo,1.306206,103.8245175,0.0,0.0,19,201.3,503.25,1308.45,0.0,0.8447570635365719,1539.99
1001.0,2,3,HDB,1.4049,103.90272,7.0,1.0,6,100.10000000000001,375.375,525.525,8.0,13.668414533254763,469.53
1312.0,2,3,HDB,1.346004,103.9592025,2.0,1.0,32,131.20000000000002,492.0,688.8,3.0,14.922176331210997,434.45
2024.0,4,3,Condo,1.28626,103.84244,0.0,1.0,10,404.8,759.0,860.2,1.0,2.291483214457418,1704.55
732.0,2,2,Condo,1.389393,103.8962205,8.0,1.0,5,73.2,183.0,475.79999999999995,9.0,11.857641547828708,1229.51
549.0,1,1,Condo,1.3,103.9,0.0,0.0,5,27.450000000000003,68.625,452.92499999999995,0.0,7.604860583374131,1967.21
1141.0,3,3,Condo,1.30635,103.88428,1.0,1.0,7,171.15000000000003,427.875,541.9749999999999,2.0,5.848364544825674,1577.56
1410.0,2,3,Condo,1.315539,103.8904605,2.0,1.0,5,141.0,528.75,740.25,3.0,6.654035943723691,978.64
1291.0,2,4,HDB,1.304109,103.917735,3.0,0.0,46,129.1,645.5,516.4000000000001,3.0,9.56579152853281,759.1
1733.0,3,3,HDB,1.334763,103.865544,1.0,0.0,37,259.95000000000005,649.875,823.175,1.0,5.069087571367514,570.11
1130.0,2,3,Condo,1.306656,103.8880845,1.0,1.0,7,113.0,423.75,593.25,2.0,6.272875548591892,1681.42
1098.0,3,3,Condo,1.34343,103.9628745,0.0,1.0,23,164.70000000000002,411.75,521.55,1.0,15.227118332110862,1183.97
